679951	585530	962494	218110	232306	467158	949506	143701	902691	301603	941416	470293	722505	114518	760714	979596	
958554	597868	852345	220668	378905	315047	461970	318694	153368	971847	306991	266798	933631	964193	117881	470219	
181669	774142	576219	834477	374395	148338	383954	948235	837608	252662	462337	714057	661391	387205	683713	459138	
688845	387056	571510	433368	149118	652063	237980	750485	831903	710725	332736	329052	365518	806110	157419	320497	
205197	865320	620857	583298	241094	595131	581608	568081	299496	583589	172300	258079	981872	284998	922943	104534	
616579	350854	643734	970771	812599	440014	318287	153454	547442	523658	505221	168807	472298	576824	122406	373615	
532075	929741	329852	707056	286679	851205	362856	889850	119719	140676	197197	470187	299344	495214	695880	957594	
281729	891808	214173	829857	914825	964201	744620	418404	244373	382504	302947	559106	699575	744163	547373	530839	
473986	122657	736520	488043	301362	221957	639540	123835	409064	996871	568295	946018	474963	742640	642654	514979	
596906	295954	254446	549654	350166	666051	658169	690925	517261	199092	360091	465697	416025	892306	689668	640862	
178519	593367	334432	736711	392282	406158	869874	804168	863312	876194	697087	465271	165181	285409	959687	180997	
952323	425298	957038	385222	728931	252880	650040	655899	869501	733858	591220	770328	212308	519001	163791	371191	
132301	690821	908585	863161	573941	150420	339909	200372	361378	394952	968953	892029	736306	127316	366406	367571	
368912	942739	918561	950150	910293	988805	843792	160930	471946	765158	738416	756188	381196	638381	206771	677495	
432265	134206	222567	269811	411782	217356	398929	811700	919875	881711	846521	855306	265782	521117	239327	864962	
104948	174793	435467	320328	593870	919317	466306	787799	965208	420820	284565	730015	260997	162017	534643	485682	
